STUDENT_ID,STUDENT_NAME,STUDENT_SURNAME,STUDENT_PASSWORD,CURRENT_LEVEL_COMPLETED
1000,ROBERT,ABBOTT,89*Fxtia,HONOURS
1001,VERNIA,ABBOTT,yS5ZCBa@,YOS3
1002,MICHAEL,ABEL,8voGa!3V,HONOURS
1003,WILLIAM,ABELL,apxD9w?0,HONOURS
1004,DAVID,ABERNATHY,7mFRxV9h,YOS3
1005,RICHARD,ABNER,Kj!xrzVH,YOS3
1006,CHARLES,ABNEY,VX@dHLY3,HONOURS
1007,JOSEPH,ABRAHAM,Ug6EGuLr,HONOURS
1008,THOMAS,ABRAMS,SE%XdHQh,HONOURS
1009,CHRISTOPHER,ABREU,r!Sh3@ey,YOS3
1010,DANIEL,ACEVEDO,S%J0NLQb,HONOURS
1011,PAUL,ACKER,0P1oIv8b,YOS3
1012,MARK,ACKERMAN,J7$yDe6x,YOS3
1013,DONALD,ACKLEY,45nguwh6,HONOURS
1014,GEORGE,ACOSTA,YrU6atjy,HONOURS
1015,GEORGIANNE,ACOSTA,ML*B4Qcv,HONOURS
1016,KENNETH,ACUNA,d$pmzNcC,YOS3
1017,STEVEN,ADAIR,L003U*2g,YOS3
1018,EDWARD,ADAM,z?7ijeV&,YOS3
1019,BRIAN,ADAME,0MI!NSn4,YOS3
1020,RONALD,ADAMS,L*6xwR3M,YOS3
1021,CHARIS,ADAMS,1t%AMDkG,YOS3
1022,ANTHONY,ADAMSON,N?g#EqPU,YOS3
1023,KEVIN,ADCOCK,1FBcAdU7,HONOURS
1024,JASON,ADDISON,Ublj5?cw,HONOURS
1025,MATTHEW,ADKINS,Nf7b4djS,HONOURS
1026,POK,ADKINS,ip9*?O1B,HONOURS
1027,GARY,ADLER,e3Y6KfVT,HONOURS
1028,TIMOTHY,AGEE,x5%KQ&C*,HONOURS
1029,JOSE,AGNEW,D$2!tNBc,HONOURS
1030,LARRY,AGUAYO,&njXl!ts,YOS3
1031,JEFFREY,AGUIAR,wNb@4i?g,HONOURS
1032,FRANK,AGUILAR,0ho2QECA,HONOURS
1033,CLARENCE,AGUILAR,aSsbjz&P,HONOURS
1034,SCOTT,AGUILERA,cuFq7DT9,YOS3
1035,ERIC,AGUIRRE,2bBUO7vo,HONOURS
1036,STEPHEN,AHERN,548iU67E,HONOURS
1037,ANDREW,AHMAD,583R?N!a,HONOURS
1038,RAYMOND,AHMED,V1T%SEe4,YOS3
1039,GREGORY,AHRENS,fTL38YyM,YOS3
1040,JOSHUA,AIELLO,o$D5i0mj,HONOURS
1041,JERRY,AIKEN,1iK4Ik8d,HONOURS
1042,DENNIS,AINSWORTH,D$%ORL7p,HONOURS
1043,WALTER,AKERS,1RVb9&p0,YOS3
1044,PATRICK,AKIN,FktX4ZLP,HONOURS
1045,PETER,AKINS,61e7W@9O,YOS3
1046,HAROLD,ALANIZ,ETmOnXN1,HONOURS
1047,DOUGLAS,ALARCON,fW5JSVAO,HONOURS
1048,HENRY,ALBA,W6YNU0FJ,HONOURS
1049,CARL,ALBERS,yJh5iuW3,YOS3
1050,ARTHUR,ALBERT,dj!BLq&u,HONOURS
1051,RYAN,ALBERTSON,lRpdCG%U,YOS3
1052,ROGER,ALBRECHT,?AcE%K@B,YOS3
1053,JOE,ALBRIGHT,4XE3dn#%,HONOURS
1054,JUAN,ALCALA,pj6wX%3z,HONOURS
1055,JACK,ALCORN,u5JLTy$U,HONOURS
1056,ALBERT,ALDERMAN,4?$!g17S,HONOURS
1057,JONATHAN,ALDRICH,uS$Y0x6z,HONOURS
1058,JUSTIN,ALDRIDGE,ZlEmMq0v,HONOURS
1059,TERRY,ALEMAN,x%Pa7Zqi,YOS3
1060,GERALD,ALEXANDER,wnxoY$ON,YOS3
1061,KANISHA,ALEXANDER,qFro$1v5,YOS3
1062,KEITH,ALFARO,JpcVBZ3T,YOS3
1063,SAMUEL,ALFONSO,TF&gZ2BC,YOS3
1064,WILLIE,ALFORD,ul28d4jx,HONOURS
1065,RALPH,ALFRED,JE2UdG%x,HONOURS
1066,LAWRENCE,ALGER,ygE7SwUk,YOS3
1067,NICHOLAS,ALI,32RgYTNe,HONOURS
1068,ROY,ALICEA,zHvdEg$?,HONOURS
1069,BENJAMIN,ALLAN,yI@8qsKH,HONOURS
1070,BRUCE,ALLARD,?mnthI&B,YOS3
1071,BRANDON,ALLEN,8IG&1siA,YOS3
1072,EMELINE,ALLEN,9yFHC1Wn,HONOURS
1073,ADAM,ALLEY,0AL7MPWp,YOS3
1074,HARRY,ALLISON,RHQgvlnS,HONOURS
1075,MATHA,ALLISON,Sr6BYdsC,HONOURS
1076,FRED,ALLMAN,%B$Kgwv9,HONOURS
1077,WAYNE,ALLRED,tgT7FGlx,HONOURS
1078,BILLY,ALMANZA,DGRX&@Wy,HONOURS
1079,STEVE,ALMEIDA,$FS%Rq3r,YOS3
1080,LOUIS,ALMOND,bzO0jQqw,HONOURS
1081,JEREMY,ALONSO,BmQe3#rw,YOS3
1082,AARON,ALONZO,t$bDJT8?,HONOURS
1083,RANDY,ALSTON,j%6bcPIS,YOS3
1084,HOWARD,ALTMAN,!2C0e9at,YOS3
1085,EUGENE,ALVARADO,jtbvG2nC,YOS3
1086,HSIU,ALVARADO,r4lOkZwc,YOS3
1087,CARLOS,ALVAREZ,j?uNy8xZ,HONOURS
1088,SPARKLE,ALVAREZ,fJ!b2#0$,YOS3
1089,RUSSELL,ALVES,fBIDZ3TN,HONOURS
1090,BOBBY,AMADOR,1bh@wEID,HONOURS
1091,VICTOR,AMARAL,Csc8A0BE,YOS3
1092,MARTIN,AMATO,su4F*twi,HONOURS
1093,ERNEST,AMAYA,E3NvFW8G,YOS3
1094,PHILLIP,AMBROSE,VUhD%K9y,YOS3
1095,TODD,AMES,58Nr*Bf#,HONOURS
1096,JESSE,AMMONS,aNPElFvm,HONOURS
1097,CRAIG,AMOS,EtiJ#clZ,HONOURS
1098,ALAN,AMUNDSON,toDwRgEb,HONOURS
1099,SHAWN,ANAYA,lD%$6CBS,YOS3
1100,CLARENCE,ANDERS,JOSMf2ZE,YOS3
1101,SEAN,ANDERSEN,Uc%AnQV$,HONOURS
1102,PHILIP,ANDERSON,uVI2zQ@9,YOS3
1103,LOGAN,ANDERSON,o!JyGSgL,YOS3
1104,CHRIS,ANDRADE,sHZWRa8l,YOS3
1105,JOHNNY,ANDRE,ejHBm%MP,HONOURS
1106,EARL,ANDRES,DqOgr&pd,YOS3
1107,JIMMY,ANDREW,j1?xNAwt,HONOURS
1108,ANTONIO,ANDREWS,w9YDiPC@,YOS3
1109,EUSTOLIA,ANDREWS,hOS0%qKB,YOS3
1110,DANNY,ANDRUS,Bpyu$oXb,HONOURS
1111,BRYAN,ANGEL,V5bR417*,HONOURS
1112,TONY,ANGELO,mrpMuP@f,HONOURS
1113,LUIS,ANGLIN,4lWSqjhE,HONOURS
1114,MIKE,ANGULO,tL1!5cSY,HONOURS
1115,STANLEY,ANTHONY,FLRt@G%n,HONOURS
1116,DODIE,ANTHONY,GznuiqAK,HONOURS
1117,LEONARD,ANTOINE,1ND@S234,HONOURS
1118,NATHAN,ANTONIO,K6W2pQ3a,HONOURS
1119,DALE,APODACA,EZFXjpby,HONOURS
1120,MANUEL,APONTE,8ClMDtK5,YOS3
1121,RODNEY,APPEL,3!vDGPzk,HONOURS
1122,CURTIS,APPLE,l?mMvOk3,YOS3
1123,NORMAN,APPLEGATE,sbvZ70yd,HONOURS
1124,ALLEN,APPLETON,Ebs5l2QW,HONOURS
1125,MARVIN,AQUINO,*@E0zV4b,YOS3
1126,VINCENT,ARAGON,817u%KVv,HONOURS
1127,GLENN,ARANDA,p918f4AN,HONOURS
1128,JEFFERY,ARAUJO,IAzQ$SJB,YOS3
1129,TRAVIS,ARCE,irMVmGHQ,HONOURS
1130,JEFF,ARCHER,1%3$4vb8,YOS3
1131,CHAD,ARCHIBALD,89O#eDAZ,HONOURS
1132,JACOB,ARCHIE,nD*VlwK0,HONOURS
1133,LEE,ARCHULETA,ZIBvcKzi,HONOURS
1134,MELVIN,ARELLANO,W19&2VfJ,HONOURS
1135,ALFRED,AREVALO,LnkGpiYU,YOS3
1136,KYLE,ARIAS,1yPuvZRx,YOS3
1137,FRANCIS,ARMENTA,9b0h#DXn,HONOURS
1138,BRADLEY,ARMIJO,bOUp6igs,YOS3
1139,JESUS,ARMSTEAD,@&BVdQ?N,HONOURS
1140,HERBERT,ARMSTRONG,bw%Mr9CV,HONOURS
1141,DONNETTA,ARMSTRONG,hXINJUQD,YOS3
1142,FREDERICK,ARNDT,PdhMSFVI,HONOURS
1143,RAY,ARNETT,O&zRmy#L,HONOURS
1144,JOEL,ARNOLD,*g9d4FsR,YOS3
1145,KALEIGH,ARNOLD,7apv3D&$,HONOURS
1146,EDWIN,ARREDONDO,v?NbtcTH,HONOURS
1147,DON,ARREOLA,XfN%Zu#7,HONOURS
1148,EDDIE,ARRIAGA,PYx0Mb5w,YOS3
1149,RICKY,ARRINGTON,yo#9E7r1,HONOURS
1150,TROY,ARROYO,hS!#F0fg,YOS3
1151,RANDALL,ARSENAULT,4arYe&F!,HONOURS
1152,BARRY,ARTEAGA,wvIGL&5R,HONOURS
1153,ALEXANDER,ARTHUR,A%2?4!l*,HONOURS
1154,BERNARD,ARTIS,nYiN3d?u,HONOURS
1155,MARIO,ASBURY,zTxioK*@,YOS3
1156,LEROY,ASH,*KE%13aQ,YOS3
